
RIC,Mid Price,Last Update Time
AEDUSD=R,.27226,05/09/2017 23:16:21
AFNUSD=R,.01474,05/09/2017 23:16:21
ALLUSD=R,.00810,05/09/2017 23:20:39
AMDUSD=R,.00206,05/09/2017 23:16:21
ANGUSD=R,.56180,05/09/2017 23:16:21
AOAUSD=R,.00603,05/09/2017 23:16:21
ARSUSD=R,.0641,05/09/2017 23:20:29
AWGUSD=R,.55868,05/09/2017 23:16:21
AZNUSD=R,.5817,05/09/2017 23:16:21
BAMUSD=R,.5593,05/09/2017 23:16:21
BBDUSD=R,.49948,05/09/2017 23:16:21
BDTUSD=R,.01229,05/09/2017 23:16:21
BGNUSD=R,.55658,05/09/2017 23:20:40
BHDUSD=R,2.65245,05/09/2017 23:16:21
BIFUSD=R,.00583,05/09/2017 23:16:21
BMDUSD=R,,05/09/2017 23:16:21
BNDUSD=R,.70872,05/09/2017 23:20:30
BOBUSD=R,.14339,05/09/2017 23:16:21
BRLUSD=R,.31418,05/09/2017 23:20:40
BSDUSD=R,,05/09/2017 23:16:21
BTNUSD=R,.01547,05/09/2017 23:16:21
BYNUSD=R,,05/09/2017 23:16:21
BZDUSD=R,.49755,05/09/2017 23:16:21
CADUSD=R,.72875,05/09/2017 23:20:39
CDFUSD=R,.00071,05/09/2017 23:12:21
CHFUSD=R,.9932,05/09/2017 23:20:41
CLFUSD=R,,05/09/2017 23:20:41
CLPUSD=R,.00148,05/09/2017 23:20:41
CNHUSD=R,.14469,05/09/2017 23:20:34
CNYUSD=R,.14477,05/09/2017 23:11:23
COPUSD=R,.03381,05/09/2017 23:20:40
CRCUSD=R,.00176,05/09/2017 23:16:21
CUPUSD=R,,05/09/2017 23:16:21
CVEUSD=R,.00985,05/09/2017 23:16:21
CZKUSD=R,.04087,05/09/2017 23:20:36
DJFUSD=R,.00559,05/09/2017 23:16:21
DKKUSD=R,.1463,05/09/2017 23:20:40
DOPUSD=R,.02117,05/09/2017 23:16:21
DZDUSD=R,.00914,05/09/2017 23:20:41
ECSUSD=R,,05/09/2017 23:16:21
EGPUSD=R,.05521,05/09/2017 23:12:21
ERNUSD=R,.06433,05/09/2017 23:16:21
ETBUSD=R,.04330,05/09/2017 23:20:20
GELUSD=R,.40955,05/09/2017 23:16:21
GHSUSD=R,.2374,05/09/2017 23:18:25
GMDUSD=R,.02185,05/09/2017 23:16:21
GNFUSD=R,.00011,05/09/2017 23:16:21
GTQUSD=R,.13629,05/09/2017 23:16:21
GYDUSD=R,.00485,05/09/2017 23:16:21
HKDUSD=R,.12847,05/09/2017 23:20:34
HNLUSD=R,.0426,05/09/2017 23:16:21
HRKUSD=R,.14675,05/09/2017 23:20:41
HTGUSD=R,,05/09/2017 23:16:21
HUFUSD=R,.34965,05/09/2017 23:20:40
IDRUSD=R,.0749,05/09/2017 23:15:28
ILSUSD=R,.27714,05/09/2017 23:20:26
INRUSD=R,1.5474,05/09/2017 23:19:29
IQDUSD=R,.00857,05/09/2017 23:16:21
IRRUSD=R,,05/09/2017 23:16:21
ISKUSD=R,.9413,05/09/2017 23:20:39
JMDUSD=R,.00774,05/09/2017 23:16:21
JODUSD=R,1.41044,05/09/2017 23:16:21
JPYUSD=R,.8765,05/09/2017 23:20:40
KESUSD=R,.00969,05/09/2017 23:12:21
KGSUSD=R,.01478,05/09/2017 23:16:21
KHRUSD=R,.00025,05/09/2017 23:16:21
KMFUSD=R,.00222,05/09/2017 23:16:21
KPWUSD=R,,05/09/2017 23:16:21
KRWUSD=R,.87978,05/09/2017 23:20:29
KWDUSD=R,3.2857,05/09/2017 23:16:21
KYDUSD=R,1.21215,05/09/2017 23:16:21
KZTUSD=R,,05/09/2017 23:16:21
LAKUSD=R,.01220,05/09/2017 23:16:21
LBPUSD=R,.00663,05/09/2017 23:16:21
LKRUSD=R,.00656,05/09/2017 23:16:21
LRDUSD=R,.01059,05/09/2017 23:16:21
LSLUSD=R,.07353,05/09/2017 23:16:21
LYDUSD=R,.70832,05/09/2017 23:16:21
MADUSD=R,.10070,05/09/2017 23:20:39
MDLUSD=R,.05325,05/09/2017 23:16:21
MGAUSD=R,.00315,05/09/2017 23:20:21
MKDUSD=R,.0177,05/09/2017 23:20:37
MMKUSD=R,.00073,05/09/2017 23:16:21
MNTUSD=R,.41494,05/09/2017 23:16:21
MOPUSD=R,.12472,05/09/2017 23:16:21
MROUSD=R,.00277,05/09/2017 23:16:21
MURUSD=R,.02885,05/09/2017 23:12:21
MVRUSD=R,.06491,05/09/2017 23:16:21
MWKUSD=R,.00138,05/09/2017 23:16:21
MXNUSD=R,.05227,05/09/2017 23:20:40
MYRUSD=R,.23005,05/09/2017 23:15:28
MZNUSD=R,.01591,05/09/2017 23:16:21
NADUSD=R,.07360,05/09/2017 23:20:40
NGNUSD=R,.00328,05/09/2017 23:12:21
NIOUSD=R,.03382,05/09/2017 23:16:21
NOKUSD=R,.11516,05/09/2017 23:20:40
NPRUSD=R,.00967,05/09/2017 23:16:21
OMRUSD=R,2.59707,05/09/2017 23:16:04
PABUSD=R,,05/09/2017 22:47:08
PENUSD=R,.30445,05/09/2017 23:19:07
PHPUSD=R,.02001,05/09/2017 23:20:25
PKRUSD=R,.00954,05/09/2017 23:16:21
PLNUSD=R,.25765,05/09/2017 23:20:40
PYGUSD=R,.00179,05/09/2017 23:16:21
QARUSD=R,.27462,05/09/2017 23:16:21
RONUSD=R,.23924,05/09/2017 23:20:40
RSDUSD=R,.00884,05/09/2017 23:20:41
RUBUSD=R,.01715,05/09/2017 23:20:35
RWFUSD=R,.00122,05/09/2017 23:16:21
SARUSD=R,.26664,05/09/2017 23:20:35
SCRUSD=R,.07428,05/09/2017 23:16:21
SDGUSD=R,.14978,05/09/2017 23:16:21
SEKUSD=R,.1126,05/09/2017 23:20:40
SGDUSD=R,.7087,05/09/2017 23:20:40
SLLUSD=R,.00135,05/09/2017 23:16:21
SOSUSD=R,.00173,05/09/2017 23:16:21
SRDUSD=R,.13267,05/09/2017 23:16:21
STDUSD=R,.00044,05/09/2017 23:16:40
SVCUSD=R,.11459,05/09/2017 23:16:21
SYPUSD=R,.00194,05/09/2017 23:16:21
SZLUSD=R,.07358,05/09/2017 23:20:34
THBUSD=R,.02876,05/09/2017 23:20:38
TJSUSD=R,.11765,05/09/2017 23:16:21
TMTUSD=R,.2862,05/09/2017 23:16:21
TNDUSD=R,.41364,05/09/2017 23:20:39
TRYUSD=R,.27885,05/09/2017 23:20:40
TTDUSD=R,.14849,05/09/2017 23:16:21
TWDUSD=R,.03304,05/09/2017 23:20:39
TZSUSD=R,.00447,05/09/2017 23:16:21
UAHUSD=R,,05/09/2017 22:46:55
UGXUSD=R,.00276,05/09/2017 23:12:21
USDAUD=R,1.3598,05/09/2017 23:20:39
USDBWP=R,10.53185,05/09/2017 23:20:31
USDEUR=R,.91855,05/09/2017 23:20:39
USDFJD=R,2.09385,05/09/2017 23:20:28
USDFKP=R,.7732,05/09/2017 23:14:05
USDGBP=R,.77295,05/09/2017 23:20:40
USDGIP=R,.77328,05/09/2017 23:14:05
USDNZD=R,1.44895,05/09/2017 23:20:39
USDPGK=R,3.17425,05/09/2017 23:20:28
USDRON=REU,,05/09/2017 23:16:21
USDSBD=R,7.80585,05/09/2017 23:20:28
USDSHP=R,.77298,05/09/2017 23:14:05
USDTOP=R,2.2363,05/09/2017 23:20:28
USDWST=R,2.55825,05/09/2017 23:20:28
UYUUSD=R,.03566,05/09/2017 23:16:21
UZSUSD=R,.00027,05/09/2017 23:16:21
VEFUSD=R,,05/09/2017 23:16:21
VNDUSD=R,.43985,05/09/2017 22:46:55
VUVUSD=R,.00908,05/09/2017 23:20:28
XAFUSD=R,.00166,05/09/2017 23:12:21
XCDUSD=R,.3697,05/09/2017 23:16:21
XOFUSD=R,.00167,05/09/2017 23:20:15
XPFUSD=R,.00914,05/09/2017 23:20:28
YERUSD=R,.00400,05/09/2017 23:16:21
ZARUSD=R,.07357,05/09/2017 23:20:41
ZMWUSD=R,.1091,05/09/2017 23:12:21
